sq_candidato,Position,Candidate,Party,sum_votes,count_local,min_abs_votes,max_abs_votes,min_prop_votes,max_prop_votes
190001905841,Councilman/Councilwoman,INGRED SILVEIRA - 22202 (PL),22 - PL,4479,1174,1,21,0.02,1.08
190001905842,Councilman/Councilwoman,NILTON CALDEIRA - 22022 (PL),22 - PL,5273,1215,1,44,0.02,2.26
190001905843,Councilman/Councilwoman,PAULO MESSINA - 22123 (PL),22 - PL,15977,1413,1,136,0.05,3.96
190001905844,Councilman/Councilwoman,SUPERZEFA - 22024 (PL),22 - PL,53,46,1,5,0.02,0.21
190001905845,Councilman/Councilwoman,RODRIGO NAVAL - 22762 (PL),22 - PL,1193,595,1,69,0.02,1.51
190001905846,Councilman/Councilwoman,DR. ROGERIO AMORIM - 22777 (PL),22 - PL,16081,1369,1,627,0.02,19.73
190001905847,Councilman/Councilwoman,RONALDO FARIA - 22011 (PL),22 - PL,3558,891,1,103,0.02,4.87
190001905848,Councilman/Councilwoman,HILARY ROUSE - 22082 (PL),22 - PL,284,172,1,10,0.02,0.57
190001905849,Councilman/Councilwoman,DOUTORA THAÍS - 22134 (PL),22 - PL,383,270,1,6,0.02,0.78
190001905850,Councilman/Councilwoman,WAGUINHO CANTOR - 22707 (PL),22 - PL,9523,1235,1,185,0.02,3.98
190001905851,Councilman/Councilwoman,MARISTELA MENDES - 22121 (PL),22 - PL,416,146,1,117,0.01,3.65
190001905852,Councilman/Councilwoman,PROFESSOR PASCHOAL - 22229 (PL),22 - PL,3731,1130,1,33,0.02,1.7
190001905853,Councilman/Councilwoman,DR SANDRO FAMÍLIA MONTEIRO - 22822 (PL),22 - PL,3301,946,1,391,0.02,8.59
190001905854,Councilman/Councilwoman,VANESSA DA SILVA OLIVEIRA - 22333 (PL),22 - PL,10416,1363,1,49,0.02,1.93
190001905855,Councilman/Councilwoman,ALEXANDRE KNOPLOCH - 22722 (PL),22 - PL,8423,1193,1,147,0.02,4.28
190001905856,Councilman/Councilwoman,AMANDA MENDES SURDA - 22227 (PL),22 - PL,374,243,1,14,0.02,0.45
190001905857,Councilman/Councilwoman,DR JOÃO BRANCO - 22040 (PL),22 - PL,3870,1063,1,51,0.02,1.36
190001905858,Councilman/Councilwoman,VANDINHO TÁ ON - 22122 (PL),22 - PL,6259,714,1,808,0.02,18.95
190001905859,Councilman/Councilwoman,ALANA PASSOS - 22000 (PL),22 - PL,11046,1367,1,60,0.03,3.13
190001905860,Councilman/Councilwoman,DIEGO FARO - 22010 (PL),22 - PL,12675,1358,1,165,0.03,3.46
190001905861,Councilman/Councilwoman,PAULO DE ALMEIDA - 22522 (PL),22 - PL,404,279,1,6,0.01,0.58
190001905862,Councilman/Councilwoman,ALEXANDRE FREITAS - 22007 (PL),22 - PL,1651,664,1,21,0.01,0.87
190001905863,Councilman/Councilwoman,LEOPOLDO CANAL - 22001 (PL),22 - PL,4343,1039,1,90,0.02,1.62
190001905864,Councilman/Councilwoman,MARCELINO D  ALMEIDA - 22369 (PL),22 - PL,8724,695,1,252,0.01,11.45
190001905865,Councilman/Councilwoman,DAVI PQD - 22444 (PL),22 - PL,3474,678,1,458,0.02,9.75
190001905866,Councilman/Councilwoman,ABENÇOADO NILSON - 22223 (PL),22 - PL,1829,787,1,46,0.01,2.1
190001905867,Councilman/Councilwoman,CORONEL MÁRCIO - 22999 (PL),22 - PL,3137,894,1,107,0.02,3.08
190001905868,Councilman/Councilwoman,RAFAEL SATIÊ - 22377 (PL),22 - PL,13582,1380,1,170,0.03,4.13
190001905869,Councilman/Councilwoman,CARLOS BOLSONARO - 22222 (PL),22 - PL,130480,1432,1,496,0.41,16.24
190001905870,Councilman/Councilwoman,POUBEL - 22622 (PL),22 - PL,21379,1403,1,89,0.06,2.51
